지형지물부호,관리번호,도로구간번호,관리기관,행정구역,연장,면적,폭원,데이터기준일자
차도포장,894,60,광주시,송정동,68.5,773.77,11.47,2019-12-25
차도포장,892,2003,광주시,송정동,21.19,223.81,10.18,2019-12-25
차도포장,890,140388,광주시,송정동,60.16,403.41,6.18,2019-12-25
차도포장,889,4542,광주시,송정동,68.69,495.05,6.98,2019-12-25
차도포장,888,821,광주시,송정동,62.67,331.31,4.97,2019-12-25
차도포장,886,1366,광주시,경안동,39.3,242.91,6.02,2019-12-25
차도포장,884,1366,광주시,경안동,119.78,762.15,6.11,2019-12-25
차도포장,883,1366,광주시,경안동,1.74,4.6,2.59,2019-12-25
차도포장,882,120251,광주시,오포읍,11.69,96.09,8.25,2019-12-25
차도포장,880,120251,광주시,오포읍,27.06,254.61,9.87,2019-12-25
차도포장,878,120251,광주시,오포읍,21.93,261.52,17.39,2019-12-25
차도포장,877,4539,광주시,오포읍,56.36,513.11,9.29,2019-12-25
차도포장,874,100224,광주시,오포읍,20.02,166.13,7.67,2019-12-25
차도포장,872,100224,광주시,오포읍,69.98,742.94,10.55,2019-12-25
차도포장,869,100237,광주시,오포읍,20.67,265.99,11.84,2019-12-25
차도포장,867,100224,광주시,오포읍,22.62,378.91,17.39,2019-12-25
차도포장,862,100224,광주시,오포읍,14.69,136.53,8.43,2019-12-25
차도포장,860,100224,광주시,오포읍,22.42,242.17,11.22,2019-12-25
차도포장,794,170068,광주시,경안동,55.37,232.97,3.61,2019-12-25
차도포장,789,170008,광주시,광남동,18.15,183.55,11.83,2019-12-25
차도포장,788,170009,광주시,광남동,35.15,278.87,7.92,2019-12-25
차도포장,787,170014,광주시,광남동,14.19,135.83,7.7,2019-12-25
차도포장,786,170020,광주시,경안동,22.94,257.65,11.6,2019-12-25
차도포장,785,170022,광주시,광남동,18.12,187.56,10.28,2019-12-25
차도포장,784,170023,광주시,광남동,48.33,618.4,12.68,2019-12-25
차도포장,783,170028,광주시,경안동,14.64,162.93,11.14,2019-12-25
차도포장,782,170033,광주시,경안동,35.59,574.26,15.77,2019-12-25
차도포장,781,170034,광주시,경안동,10.08,117.14,11.73,2019-12-25
차도포장,780,170037,광주시,경안동,17.13,180.8,11.65,2019-12-25
차도포장,779,170040,광주시,경안동,13.73,110.27,8.01,2019-12-25
차도포장,778,170043,광주시,경안동,18.87,151.72,8.04,2019-12-25
차도포장,777,170044,광주시,경안동,31.36,280.53,7.99,2019-12-25
차도포장,776,170047,광주시,경안동,18.91,151.75,8.02,2019-12-25
차도포장,775,170048,광주시,경안동,24.22,194.36,8.02,2019-12-25
차도포장,774,170058,광주시,경안동,17.24,163.24,10.21,2019-12-25
차도포장,773,170060,광주시,경안동,5.44,42.07,7.78,2019-12-25
차도포장,772,170072,광주시,경안동,14.98,135.79,10.13,2019-12-25
차도포장,771,170074,광주시,경안동,17.07,230.19,16.96,2019-12-25
차도포장,770,170073,광주시,경안동,158.08,"1,133.17",7.04,2019-12-25
차도포장,769,170071,광주시,경안동,32.39,159.01,5.66,2019-12-25
